status,product_area,response,justification,request_type
escalated,general,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=product_issue; product_area=general; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.256 source=data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md text=/support.claude.com/en/articles/13443764-inviting-members-to-the-claude-console) before you can add them to a Workspace.  1. Navigate to the desired Workspace's details page by clicking on it from the Workspaces list. 2. Click on the “Members” tab. 3. Click on “Add to Workspace” near the top right of the page. 4. Choose the individual you’d like to add from the list of your organization’s members. 5. Assign a Work... || - score=0.251 source=data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md text=t up an email notification when the Workspace spend reaches a specific amount.  ##  ## Viewing Workspace Usage and Costs  1. Navigate to the [Usage or Cost Reports](https://support.claude.com/en/articles/9534590-cost-and-usage-reporting-in-the-claude-console). 2. Choose to view by an individual Workspace, or by “All Workspaces”.  ## Archiving a Workspace  If you no longer need a Workspace but want to retain its hi... || - score=0.214 source=data/claude/connectors/pre-built-connectors/10166901-use-google-workspace-connectors.md text=laude connection, click into the settings, and choose ""Delete all connections.""  ## Google Workspace admin configuration  If your organization uses Google Workspace and the connectors aren't working (you may see the message *""Access blocked: your institution's admin needs to review Claude for Google Drive""*), your Google Workspace admin may need to allow Claude as a trusted application:  1. Go to **[admin.google.c... || - score=0.205 source=data/claude/claude/get-started-with-claude/8461763-where-can-i-access-claude.md text=--- title: ""Where can I access Claude?"" title_slug: ""where-can-i-access-claude"" source_url: ""https://support.claude.com/en/articles/8461763-where-can-i-access-claude"" last_updated_iso: ""2026-03-16T21:16:15Z"" article_id: ""8488154"" breadcrumbs:   - ""Claude""   - ""Get started with Claude"" ---  # Where can I access Claude?  _Last updated: 2026-03-16T21:16:15Z_  You can access Claude in the following locations: || - score=0.199 source=data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md text=the list of Workspaces.  > **Note:** You are limited to 100 workspaces per organization.  ## Editing Workspace Settings  1. From the **Workspaces** list, click on the ellipsis next to the Workspace you want to edit. 2. Select “Edit details."" 3. You can modify the following settings:   - Workspace Name   - Color 4. After making your changes, click ""Save"" to apply them.  > **Note:** The default Workspace is not edit...",product_issue
replied,assessments,"I've reviewed your test results and noticed that you scored below the cut-off score. However, I can provide you with a breakdown of your question details to help you understand how your score was calculated.  Please find the details in the ""Question details"" section, which includes:  1. Question name 2. Attempted: Indicates whether you attempted the question 3. Score: Score achieved for the question 4. Question type: Identifies the question format  If you'd like to dispute your test score, please provide more information about the specific questions you're concerned about, and I'll do my best to help you understand how your score was calculated.  Note that if a cutoff score is set on the test level in HackerRank, the band will automatically update to **Pass** or **Fail**, so it's possible that the recruiter's decision was based on this automatic evaluation.","request_type=product_issue; product_area=assessments; status=replied. reason=Low-risk and response generated strictly from retrieved context. Evidence: - score=0.224 source=data/hackerrank/integrations/applicant-tracking-systems/jobvite/1202195004-jobvite---hackerrank-integration-configuration-guide.md text=zJKbOBvY2yyeCKXFQwIqD5GA__&Key-Pair-Id=K3NV4LZ47N8M46)  The following table summarises the custom fields for HackerRank.  |  |  | |----|----| | **Candidate - Custom Fields** | **Description** | | HackerRank Test Link | The URL of the test sent to the candidate. This is useful if the recruiter wants to resend the invite to candidates manually | | HackerRank Test Status | A string indicating the status of the invite... || - score=0.167 source=data/hackerrank/integrations/applicant-tracking-systems/oracle-recruiting-cloud/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md text=n. If a cutoff score is set on the test level in HackerRank, the band will automatically update to **Pass** or **Fail**.  - **Comments:** For HackerRank tests, we provide additional test results in the comment section. This includes the **Max Score**, attempt end time and **Question Details**.  - **View Results:** Upon test completion, this link will direct to the most recently completed HackerRank assessment repo... || - score=0.158 source=data/hackerrank/integrations/applicant-tracking-systems/greenhouse/2499611070-greenhouse---hackerrank-integration-tests-user-guide-.md text=- **Score:** Candidate’s final assessment score.  - **Started At:** Date and time when the candidate started the test.  - **Completed At:** Date and time when the candidate submitted the test.  - **Total Time Taken:** Total time the candidate spent completing the test.  - **Test Name:** Name of the assigned HackerRank test.  - **Total Score:** Candidate’s score relative to the maximum possible score.  - **Plagiari... || - score=0.158 source=data/hackerrank/screen/frequently-asked-questions/6321836373-what-happens-to-candidate-statuses-if-the-cut-off-score-is-altered%3F.md text=d as ""Qualified"". However, if candidate B now attempts the test and gets a score of 60, they will be marked as ""Failed"".  You can set the cut-off score for a Test under the Test Score Settings page. Refer to the [📄 Modifying Score Settings for Tests](/articles/8294988738)topic for more information.  In the **Candidates** tab of a Test, you can use the options in the left pane to filter and view the **Qualified** a... || - score=0.157 source=data/hackerrank/library/question-types/general-questions/2513748038-multiple-choice-questions.md text=per correct answer.  The table below shows how the system calculates the final score based on the candidate’s selection.  |                               |           | |-------------------------------|-----------| | **Candidate selection**       | **Score** | | Selects both correct answers  | 5         | | Select one correct answer     | 2.5       | | Selects more than two options | 0         |  ## Test-level scor...",product_issue
escalated,billing,I’m routing this request to a human support agent who can securely assist you.,"request_type=product_issue; product_area=billing; status=escalated. reason=Visa/financial domain requires human review. Evidence: - score=0.393 source=data/visa/support.md text=have concerns involving a merchant, you can take action immediately by [filling out this form.](/Forms/visa-rules.html)  ### Can a merchant set a maximum or minimum limit for using my Visa card?  In general, a merchant is not permitted to establish a minimum or maximum amount for a Visa transaction. However, exceptions apply in the USA and US territories – like Puerto Rico, the US Virgin Islands and Guam. In those... || - score=0.332 source=data/visa/support/consumer/visa-rules.md text=rs clear insight into the way that Visa runs our global business. Here are the latest editions of our rules to prove it.  - [Read the Visa Core Rules and Visa Product and Service Rules](/content/dam/VCOM/download/about-visa/visa-rules-public.pdf)  [Read the Merchant Data Standards Manual](/content/dam/VCOM/download/merchants/visa-merchant-data-standards-manual.pdf)  ------------------------------------------------... || - score=0.301 source=data/visa/support.md text=card, or requires that the purchase amount on a credit card is greater than US\$10, please notify your Visa card issuer.  \*Please note, Visa does not set up, service or have access to cardholder or merchant accounts. This is done through our client financial institutions (the banks). Each financial institution has its own criteria for issuing Visa cards, how it manages statements, etc.  ## Get in touch  Report a ... || - score=0.269 source=data/visa/support/consumer/visa-rules.md text=--- title: ""Visa Credit Card Rules & Regulations"" source_url: ""https://www.visa.co.in/support/consumer/visa-rules.html"" final_url: ""https://www.visa.co.in/support/consumer/visa-rules.html"" last_modified: ""2023-10-04T01:48:44.301Z"" description: ""Visa Rules - Learn more about Visa credit card rules, regulations and policies as a consumer or merchant. Filing  inquiries and FAQs - find them here."" ---  # Visa Credit C... || - score=0.249 source=data/visa/support/consumer/travel-support.md text=-------  ## Global Customer Assistance Service  ## Lost your Visa card? Call +1 303 967 1090 from anywhere in the world.  No matter where you are in the world, Visa’s Global Customer Assistance Services (GCAS) representatives can provide multilingual assistance 24 hours a day, 365 days a year. GCAS can help you block your Visa card within 30 minutes once it has been reported stolen or lost, protecting you against ...",product_issue
escalated,billing,I’m routing this request to a human support agent who can securely assist you.,"request_type=product_issue; product_area=billing; status=escalated. reason=High-risk category (fraud/billing/account access). Evidence: - score=0.484 source=data/hackerrank/hackerrank_community/mock-interviews/8988753946-introduction-to-mock-interview.md text=--- title: ""Introduction to Mock Interview Types of mock interviews Accessing mock interview"" title_slug: ""introduction-to-mock-interview-types-of-mock-interviews-accessing-mock-interview"" source_url: ""https://help.hackerrank.com/articles/8988753946-introduction-to-mock-interview"" article_slug: ""8988753946-introduction-to-mock-interview"" last_updated_exact: ""Apr 22, 2026, 10:59 AM"" last_updated_relative: ""Last upd... || - score=0.462 source=data/hackerrank/hackerrank_community/mock-interviews/6795045456-coding-mock-interview.md text=the session.  # Viewing previous attempts  To view your previous Coding mock interviews:  1.  Go to the **Prepare** tab.  2.  Locate the **Coding** card under the **AI-powered Mock Interviews** section.  3.  Click **Take Interview**.  4.  Click **View Previous Interviews.**\     The **My Previous Mock Interviews** dialog displays a list of your previous mock interviews, including the date and score for each. || - score=0.427 source=data/hackerrank/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md text=stand your strengths and gaps in detail.  # Viewing previous attempts  To view your previous AI Fluency mock interviews:  1.  Go to the **Prepare** tab.  2.  Locate the **AI Fluency** card under the **AI-powered Mock Interviews** section.  3.  Click **Take Interview**.  4.  Click **View Previous Interviews.**\     The **My Previous Mock Interviews** dialog displays a list of your previous mock interviews, includin... || - score=0.423 source=data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md text=interview credits:  1.  Log in to [HackerRank Community](https://www.hackerrank.com/auth/login) using your credentials.  2.  Go to the **Prepare** tab and locate **Mock Interviews for you** section  3.  Click **Buy Mock Interviews** on any of the listed mock interview cards.  4.  Choose the number of mock interviews you want to buy. You can view the total cost for each option.  ![image.png](https://assets.usepylon... || - score=0.412 source=data/hackerrank/hackerrank_community/mock-interviews/5671120169-technical-screen-mock-interview.md text=reference  Use the section-based feedback to understand your strengths and gaps in detail.  # Viewing previous attempts  To view your previous Technical Screen mock interviews:  1.  Go to the **Prepare** tab.  2.  Locate the **Technical Screen** card under the **AI-powered Mock Interviews** section.  3.  Click **Take Interview**.  4.  Click **View Previous Interviews.**\     The **My Previous Mock Interviews** dia...",product_issue
escalated,billing,I’m routing this request to a human support agent who can securely assist you.,"request_type=product_issue; product_area=billing; status=escalated. reason=High-risk category (fraud/billing/account access). Evidence: - score=0.153 source=data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md text=3OWcA5j5nrrRp5IdNg3qhq7OO5v7Z6Zpn3PBg7IGAUEsdpbYmNVXVB1n8PI~PdwkwnF0PKuxT2LI-hB851S7wgUZmg__&Key-Pair-Id=K3NV4LZ47N8M46)  5.  Click **Buy Now** to proceed to the payment gateway.\     Supported payment methods:  - Stripe (Available in all countries except India)  - Razorpay (Available in India)  6.  Enter your payment details and complete the transaction.  7.  Click **Pay** to complete your purchase.  ## Refund po... || - score=0.153 source=data/hackerrank/hackerrank_community/additional-resources/4147773232-troubleshooting-login-issues.md text=--- title: ""Troubleshooting Login Issues Issue 1: Invalid credentials Issue 2: Wrong login page Issue 3: Password or cache"" title_slug: ""troubleshooting-login-issues-issue-1-invalid-credentials-issue-2-wrong-login-page-issue-3-password-or-cache"" source_url: ""https://help.hackerrank.com/articles/4147773232-troubleshooting-login-issues"" article_slug: ""4147773232-troubleshooting-login-issues"" last_updated_exact: ""Oct... || - score=0.142 source=data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md text=account where they were purchased. We recommend using them before merging accounts.  **Can I update my payment method?**  Yes. HackerRank does not store payment methods. When purchasing mock interview credits, you can select your preferred payment option in the Stripe or Razorpay pop-up.  **What should I do if my payment fails?**  Refresh the page and retry the payment. If any amount was deducted incorrectly, it w... || - score=0.135 source=data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/4312449655-upgrade-subscription-plan.md text=N8M46)  1.  Log in to your [HackerRank Community](https://www.hackerrank.com/auth/login) account using your credentials.  2.  Click the profile icon in the upper-right corner.  3.  Select **Plans** from the drop-down menu.  4.  Select the plan you want and click **Upgrade**.  5.  In the confirmation dialog, click **Accept & Continue** to proceed to the payment gateway.\     Supported payment methods:  - Stripe (Av... || - score=0.105 source=data/hackerrank/settings/user-account-settings-and-preferences/4255542979-manage-subscriptions.md text=nistrators to update payment methods and billing information, and download invoices.  # Updating credit card information  You can update your payment method to prevent service disruptions caused by expired or outdated card details.  To update your credit card:  1.  Log in to **HackerRank for Work** using your credentials.  2.  Go to **Manage Subscription** from the profile drop-down.  3.  Click **Update** under th...",product_issue
escalated,general,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=product_issue; product_area=general; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.201 source=data/hackerrank/integrations/scheduling/3675175160-using-hackerrank-interviews-in-interviewplanner.md text=--- title: ""Using HackerRank Interviews in InterviewPlanner"" title_slug: ""using-hackerrank-interviews-in-interviewplanner"" source_url: ""https://support.hackerrank.com/articles/3675175160-using-hackerrank-interviews-in-interviewplanner"" article_slug: ""3675175160-using-hackerrank-interviews-in-interviewplanner"" last_updated_exact: ""Apr 3, 2025, 11:42 AM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs: ... || - score=0.171 source=data/hackerrank/screen/test-integrity/2686193421-best-practices-for-running-group-assessments-in-hackerrank-desktop-app-mode.md text=k or unresponsive, ask candidates to refresh the screen:  - **Mac**: Command (⌘) + R  - **Windows**: Ctrl + R  **Note:**  - For more information on downloading, installing, and launching your test using the HackerRank Desktop App, see [Attempting Tests Using the HackerRank Desktop App](https://candidatesupport.hackerrank.com/articles/5105545533-attempting-tests-using-hackerrank-desktop-app).  - If you experience a... || - score=0.165 source=data/hackerrank/uncategorized/9695299159-onboarding-candidates.md text=didates to attend the hiring company's assessments and display their coding and technical skills to potential employers.  It is a good practice to familiarize your Candidates with the HackerRank platform before your hiring process begins. Communicate with your candidates about how HackerRank assessments work, what they can expect, or how long it may take. These practices reduce any surprises for your candidates an... || - score=0.156 source=data/hackerrank/general-help/hackerrank-ai-data-services/2212135172-hackerrank-ai-data-services-faq.md text=ssessments are never used for testing or training models.  **Will AI models be trained on HackerRank’s hiring content?**  No. HackerRank generates entirely new questions and exercises for AI training. The questions used for hiring, interviewing, and skill assessments remain separate and are never used for AI model development.  **Who can I contact for more information?**  If you have questions or need additional c... || - score=0.155 source=data/hackerrank/general-help/release-notes/5686123513-april-2025-release-notes.md text=questions. To get access, contact your account manager or email [support@hackerrank.com](mailto:support@hackerrank.com).  ![updated IOS.gif](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1746200302964-updatedIOS.gif?Expires=253370764800&Signature=izSM2mKaoq4Dyt5-1i-8YING2wekkabS6mZZ8gC00-JZTJ7lYxOSA8RKDf2BewIpgxa2YrZ5hVcMzSq2~1uoy3l-GZ0obaESjtDPqLKrjSPmDVoTGphNhhWJ6u3CkCQcTMrhJnbdWtHVPRdhxcD7N...",product_issue
escalated,general,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=product_issue; product_area=general; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.135 source=data/hackerrank/general-help/release-notes/5686123513-april-2025-release-notes.md text=k5CcFQ1u-Cd9zHqbMoyqMKBng0cxP32Gj5w__&amp;Key-Pair-Id=K3NV4LZ47N8M46"" class=""kb-image block"" data-drag-handle=""false"" />  - **Extensive practice before certification**: Developers no longer need to earn badges to unlock a certification. Instead, they're guided through a set of bite-sized practice challenges, designed to teach and reinforce the skills needed to succeed on the certification.  - **AI tutor support in... || - score=0.132 source=data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md text=--- title: ""Search and Apply for Jobs"" title_slug: ""search-and-apply-for-jobs"" source_url: ""https://help.hackerrank.com/articles/1560975739-search-for-jobs"" article_slug: ""1560975739-search-for-jobs"" last_updated_exact: ""Mar 5, 2025, 6:50 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs:   - ""Additional Resources""   - ""Job Search and Applications"" ---  # Search and Apply for Jobs  _Last updated: Ma... || - score=0.129 source=data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md text=ls.  2.  Go to the **Apply** tab to view available developer jobs.  3.  Refine the job list using the following filters:  - **Role**: Select a role that matches your expertise (For example, Back-End Engineer or Data Analyst).  - **Experience level**: Choose an experience level (For example, 0–3 years, 3–5 years, or 5–7 years).  - **Location**: Specify your preferred job location.  - **Company**: Select the company... || - score=0.120 source=data/hackerrank/hackerrank_community/additional-resources/4745765442-notification.md text==K3NV4LZ47N8M46)  - **Résumé review**: The Résumé Review feature is available [here](https://www.hackerrank.com/resume).  ![image.png](https://assets.usepylon.com/0de3a1ce-684d-4589-ad00-0840216c2f36%2F1753267887042-image.png?Expires=253370764800&Signature=vSooJGnxdlId9M5EuJNMBPaDkufgPCc-MODqt~xhfcXAKNhp37hCz2P1jLZc7fjUVsTe0w0FT-cLoP9uQ5QiZ0ngrpfgVxjMq7OmdK5wMzPcKFfWk7tz6fpRVAxcL-vIXQoFtMRV3fPfsSZchbnEmtb4FgCWGYH4... || - score=0.112 source=data/hackerrank/skillup/getting-started/7992263058-weekly-challenges.md text=multiple challenges  **Note:** Users can view the previous week’s challenge and winning submissions to learn from them.  ![image.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1769525915891-image.png?Expires=253370764800&Signature=hlizgIT~Ii8nn~m1ggeHH3JWmMKUx~QjU5bixfdjLEalebfITUEPbr9qehoOePpd1DSi4kxo95BBM1tPb1ZsIQlrRPiqr87JDElfFa4l6JkxaJz2~xEOHRpI4gfnR~jIC-rnzjnEL9XlqtbT-4C-lUugorym0uzVb...",product_issue
escalated,assessments,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=product_issue; product_area=assessments; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.189 source=data/hackerrank/skillup/getting-started/7992263058-weekly-challenges.md text=multiple challenges  **Note:** Users can view the previous week’s challenge and winning submissions to learn from them.  ![image.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1769525915891-image.png?Expires=253370764800&Signature=hlizgIT~Ii8nn~m1ggeHH3JWmMKUx~QjU5bixfdjLEalebfITUEPbr9qehoOePpd1DSi4kxo95BBM1tPb1ZsIQlrRPiqr87JDElfFa4l6JkxaJz2~xEOHRpI4gfnR~jIC-rnzjnEL9XlqtbT-4C-lUugorym0uzVb... || - score=0.149 source=data/hackerrank/integrations/applicant-tracking-systems/lever/9868451767-adding-candidates-to-lever-ats-from-a-public-link.md text=fxS66~JmWUDR9zh4cEzqM89G3YG-2d6-REQ__&Key-Pair-Id=K3NV4LZ47N8M46)  ### Selecting a Job for the Candidates to Take a Test  1.  After the configuration, candidates taking a particular test from a public link are added to your ATS in this Job. Click **Choose Job** and select the appropriate job role for which candidates are taking this test.  ![ATS5.jpg](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d... || - score=0.147 source=data/hackerrank/hackerrank_community/practice-coding-challenges/7845849982-introduction-to-challenges.md text=--- title: ""Introduction to Coding Challenges"" title_slug: ""introduction-to-coding-challenges"" source_url: ""https://help.hackerrank.com/articles/7845849982-introduction-to-challenges"" article_slug: ""7845849982-introduction-to-challenges"" last_updated_exact: ""Mar 5, 2025, 3:04 PM"" last_updated_relative: ""Last updated 1 year ago"" breadcrumbs:   - ""Practice Coding Challenges"" ---  # Introduction to Coding Challenges ... || - score=0.140 source=data/hackerrank/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md text=from different variants, the **Add time** option is disabled. Filter the candidate list to a single variant to continue.  - Candidates who are actively taking the test must refresh the page to see the updated timer.  - Candidates who have completed the test must log in again to view the added time.  \ || - score=0.138 source=data/hackerrank/skillup/getting-started/7992263058-weekly-challenges.md text=--- title: ""Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges"" title_slug: ""weekly-challenges-accessing-weekly-challenges-leaderboard-evaluating-weekly-challenges-available-weekly-challenges"" source_url: ""https://support.hackerrank.com/articles/7992263058-weekly-challenges"" article_slug: ""7992263058-weekly-challenges"" last_updated_exact: ""Jan 28, 202...",product_issue
escalated,assessments,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=bug; product_area=assessments; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.117 source=data/hackerrank/screen/test-reports/9722863972-what-is-code-quality.md text=ode adversely impacts the code quality.  - **Issues**: The number of issues with the following three levels of severity:  - Blocker: The blocker issues have operational or security risks. These issues might make the whole application unstable in production.\     *Examples*: Calling a garbage collector, not closing a socket, and so on.  - Critical: The critical issues have operational or security risks. These issue... || - score=0.117 source=data/hackerrank/screen/test-settings/6201558176-assess-candidates-in-canadian-french-language.md text=bling Canadian French for a test Candidate experience  _Last updated: Sep 3, 2025, 11:15 AM (Last updated 8 months ago)_  HackerRank enables test administrators to configure the candidate-facing language for assessments. This setting determines the language displayed in the candidate’s emails, login screen, and test environment. You can select **English** or **Canadian French** when sending tests.  # Enabling Cana... || - score=0.100 source=data/hackerrank/interviews/integrations/5805684780-zoom---hackerrank-interview-integration.md text=nside the Zoom application.  ## How it Works  This article will walk you through the workflow of Interviews inside Zoom.  - First Install the HackerRank app from the [Zoom marketplace](https://marketplace.zoom.us/apps?category=zoom-apps&utm_source=meeting-client).  - Now start a new meeting inside the Zoom application.  - At the bottom of the space, click on the Apps button.  ![image1.jpg](https://assets.usepylon.... || - score=0.091 source=data/hackerrank/general-help/release-notes/5686123513-april-2025-release-notes.md text=Protocol (LSP) support for Go, enabling smarter diagnostics and developer assistance.  #### WebSocket Connectivity Check  With a new WebSocket connectivity pre-check in place, candidates can enter assessments confidently, minimizing unexpected connection issues that might otherwise prevent the IDE from loading properly. || - score=0.084 source=data/hackerrank/general-help/release-notes/9911032760-april-2024-release-notes.md text=entence Completion Questions](/articles/7581599973)  \  ## Interviews  ### Protection of Candidate’s Information on Zoom  HackerRank ensures data confidentiality by encrypting and securely masking PII (Personally Identifiable Information) transmitted to Zoom. Users can now opt to have Interviewer and Candidate names masked in the Zoom video recordings. The candidate’s name is displayed as “Candidate” and Interview...",bug
escalated,assessments,I couldn’t find enough relevant information in the provided knowledge base to answer safely. I’m routing this to a human support agent for review.,"request_type=product_issue; product_area=assessments; status=escalated. reason=Generator reported not_found (insufficient grounded steps). Evidence: - score=0.230 source=data/hackerrank/chakra/integrations/8472393759-ashby-chakra-integration-user-guide.md text=*Finished:** Date and time when the candidate completed the assessment.  - **Score:** Candidate’s final interview score.  - **Report URL:** Click **View in HackerRank** to open the detailed report in Chakra.  - **Assessment Sent Date:** Date and time when the assessment was sent to the candidate.  - **Test Start Date:** Date and time when the candidate started the assessment.  - **Test Duration:** The total time t... || - score=0.183 source=data/hackerrank/integrations/applicant-tracking-systems/oracle-recruiting-cloud/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md text=hat informs them to take an assessment. They need to complete the assessment before they can submit the job application.  <img src=""https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1735340622362-4412386484499-2c7977bf-acda-4070-b4ce-1ecb1888000e?Expires=253370764800&amp;Signature=Q1MOxPJyYCmZcRd4k-VORsbO2szx3w3kDH~-JGrRxbmbsS2i4oeOFL0Gw-Acbpm4utQxTCjAeXjnaNQNEKtafzAk3yfVVzJBbUrwLUAqZU7q9W54berody... || - score=0.150 source=data/hackerrank/screen/managing-tests/2979262079-modify-test-expiration-time.md text=d=K3NV4LZ47N8M46)  5.  Modify the **Start date & time** and **End date & time** in the **Test Expiration Time** section.  ![image.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1773156564425-image.png?Expires=253370764800&Signature=WeR2RAf9dT1CkLQtvCuCLU1sN23DugskbLKyPzDI~AxQYUqHe0izoCXAo887vBRUbXWhtS7o6TPYGprMTGEvm0vN7ujqU9ziqd3UNXyOJLNKAtrkaK6kCMo6pEpHIOpbIQ1Ex5UN~YyBgkT2PWCcoQ1AviQQPJUg... || - score=0.147 source=data/hackerrank/settings/insights/7355624862-create-custom-reports.md text=imum score for the question. | | Recommended Time (min) | Recommended time to solve the question in minutes, |  ## Users  |  |  | |----|----| | **Field** | **Description** | | User ID | Unique identifier for the user. | | Full Name | Full name of the user. | | Email | Email address of the user. | | Is Email Activated | Indicates if the user’s email is activated. | | Company ID (User) | Unique identifier for the co... || - score=0.147 source=data/hackerrank/integrations/applicant-tracking-systems/oracle-recruiting-cloud/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md text=6exwgmMhoMMhT-Vi3S~E3GbGuMnQeSjm7Cw__&amp;Key-Pair-Id=K3NV4LZ47N8M46"" class=""kb-image block"" data-drag-handle=""false"" />  **External Applyflow Inline Trigger**\ When this trigger is set up, candidates will be asked to complete an assessment while filling out the job application and before submitting it. We recommend using this trigger type only for HackerRank Tests. At this stage, a live HackerRank Interview would...",product_issue
